epoch batch k value what
0 1000 39 24.5431 diff
0 1000 39 26.9676 norm
0 1000 40 24.7147 diff
0 1000 40 27.1528 norm
0 1000 41 24.8584 diff
0 1000 41 27.3107 norm
0 1000 42 24.9724 diff
0 1000 42 27.4396 norm
0 1000 43 25.0552 diff
0 1000 43 27.5378 norm
0 1000 44 25.1058 diff
0 1000 44 27.6042 norm
0 1000 45 25.1238 diff
0 1000 45 27.6384 norm
0 1000 46 25.1098 diff
0 1000 46 27.6408 norm
0 1000 47 25.065 diff
0 1000 47 27.6126 norm
0 1000 48 24.9918 diff
0 1000 48 27.556 norm
0 1000 49 24.8929 diff
0 1000 49 27.4738 norm
0 1000 50 24.7719 diff
0 1000 50 27.3693 norm
0 1000 51 24.6325 diff
0 1000 51 27.2465 norm
0 1000 52 24.4785 diff
0 1000 52 27.1091 norm
0 1000 53 24.3137 diff
0 1000 53 26.9608 norm
0 1000 54 24.1409 diff
0 1000 54 26.8047 norm
0 1000 55 23.9623 diff
0 1000 55 26.6428 norm
0 1000 56 23.7785 diff
0 1000 56 26.4758 norm
0 1000 57 23.5886 diff
0 1000 57 26.3026 norm
0 1000 58 23.3895 diff
0 1000 58 26.1203 norm
0 1000 59 23.177 diff
0 1000 59 25.9244 norm
0 1000 60 22.9461 diff
0 1000 60 25.7101 norm
0 1000 61 22.6928 diff
0 1000 61 25.4731 norm
0 1000 62 22.4155 diff
0 1000 62 25.2118 norm
0 1000 63 22.1159 diff
0 1000 63 24.9278 norm
0 1000 64 21.7995 diff
0 1000 64 24.6266 norm
0 1000 65 21.4746 diff
0 1000 65 24.3164 norm
0 1000 66 21.1525 diff
0 1000 66 24.0082 norm
0 1000 67 20.8462 diff
0 1000 67 23.7146 norm
0 1000 68 20.5701 diff
0 1000 68 23.4494 norm
0 1000 69 20.3394 diff
0 1000 69 23.2271 norm
0 1000 70 20.1687 diff
0 1000 70 23.0615 norm
0 1000 71 20.071 diff
0 1000 71 22.9653 norm
0 1000 72 20.0561 diff
0 1000 72 22.9479 norm
0 1000 73 20.1289 diff
0 1000 73 23.0145 norm
0 1000 74 20.2885 diff
0 1000 74 23.1651 norm
0 1000 75 20.5283 diff
0 1000 75 23.3942 norm
0 1000 76 20.8372 diff
0 1000 76 23.692 norm
0 1000 77 21.2011 diff
0 1000 77 24.0454 norm
0 1000 78 21.605 diff
0 1000 78 24.4402 norm
0 1000 79 22.0347 diff
0 1000 79 24.8624 norm
0 1000 80 22.4779 diff
0 1000 80 25.2998 norm
0 1000 81 22.9245 diff
0 1000 81 25.742 norm
0 1000 82 23.3666 diff
0 1000 82 26.1807 norm
0 1000 83 23.7984 diff
0 1000 83 26.6098 norm
0 1000 84 24.2157 diff
0 1000 84 27.0248 norm
0 1000 85 24.6157 diff
0 1000 85 27.4223 norm
0 1000 86 24.9963 diff
0 1000 86 27.8003 norm
0 1000 87 25.356 diff
0 1000 87 28.157 norm
0 1000 88 25.6936 diff
0 1000 88 28.4912 norm
0 1000 89 26.0082 diff
0 1000 89 28.8018 norm
0 1000 90 26.2987 diff
0 1000 90 29.0878 norm
0 1000 91 26.5638 diff
0 1000 91 29.3479 norm
0 1000 92 26.802 diff
0 1000 92 29.5807 norm
0 1000 93 27.0114 diff
0 1000 93 29.7845 norm
0 1000 94 27.1899 diff
0 1000 94 29.9572 norm
0 1000 95 27.3351 diff
0 1000 95 30.0966 norm
0 1000 96 27.4446 diff
0 1000 96 30.2005 norm
0 1000 97 27.516 diff
0 1000 97 30.2665 norm
0 1000 98 27.5469 diff
0 1000 98 30.2923 norm
0 1000 99 27.535 diff
0 1000 99 30.2758 norm
0 1000 100 27.4782 diff
0 1000 100 30.2149 norm
0 1000 101 27.3744 diff
0 1000 101 30.1075 norm
0 1000 102 27.2209 diff
0 1000 102 29.951 norm
0 1000 103 27.0147 diff
0 1000 103 29.7426 norm
0 1000 104 26.7523 diff
0 1000 104 29.4788 norm
0 1000 105 26.4303 diff
0 1000 105 29.1563 norm
0 1000 106 26.0455 diff
0 1000 106 28.7724 norm
0 1000 107 25.5961 diff
0 1000 107 28.3255 norm
0 1000 108 25.0822 diff
0 1000 108 27.8163 norm
0 1000 109 24.1498 diff
0 1000 109 26.9939 norm
0 1000 110 21.8082 diff
0 1000 110 24.9019 norm
0 1000 111 18.4265 diff
0 1000 111 21.9096 norm
0 1000 112 14.488 diff
0 1000 112 18.4752 norm
0 1000 113 10.8251 diff
0 1000 113 15.3624 norm
0 1000 114 7.82816 diff
0 1000 114 12.8766 norm
0 1000 115 5.44575 diff
0 1000 115 10.9374 norm
0 1000 116 3.55523 diff
0 1000 116 9.43045 norm
0 1000 117 2.06606 diff
0 1000 117 8.27362 norm
0 1000 118 0.903436 diff
0 1000 118 7.39328 norm
