batch k value what
1000 107 2.05907 norm
1000 108 2.35037 diff
1000 108 2.05906 norm
1000 109 4.69731 diff
1000 109 3.43984 norm
1000 110 3.94628 diff
1000 110 3.02369 norm
1000 111 3.43129 diff
1000 111 2.63603 norm
1000 112 3.18934 diff
1000 112 2.41788 norm
1000 113 2.85661 diff
1000 113 2.38668 norm
1000 114 2.27435 diff
1000 114 2.20749 norm
1000 115 2.49888 diff
1000 115 2.15161 norm
1000 116 2.13184 diff
1000 116 2.06545 norm
1000 117 1.8737 diff
1000 117 1.91045 norm
1000 118 1.91885 diff
1000 118 1.90779 norm
1000 119 0.0 diff
1000 119 2.08976 norm
1500 0 3.27271 diff
1500 0 2.56965 norm
1500 1 4.16667 diff
1500 1 3.62765 norm
1500 2 4.80613 diff
1500 2 4.21054 norm
1500 3 4.99848 diff
1500 3 4.42525 norm
1500 4 5.13265 diff
1500 4 4.54595 norm
1500 5 5.16782 diff
1500 5 4.61362 norm
1500 6 5.17325 diff
1500 6 4.62967 norm
1500 7 5.19407 diff
1500 7 4.62635 norm
1500 8 5.20401 diff
1500 8 4.63102 norm
1500 9 5.18167 diff
1500 9 4.61041 norm
1500 10 4.17797 diff
1500 10 3.79726 norm
1500 11 3.65745 diff
1500 11 3.28061 norm
1500 12 3.26793 diff
1500 12 2.99063 norm
1500 13 3.12437 diff
1500 13 2.82394 norm
1500 14 2.99356 diff
1500 14 2.72064 norm
1500 15 2.9184 diff
1500 15 2.62706 norm
1500 16 2.82487 diff
1500 16 2.47057 norm
1500 17 2.706 diff
1500 17 2.38586 norm
1500 18 2.60445 diff
1500 18 2.32373 norm
1500 19 2.48628 diff
1500 19 2.33855 norm
1500 20 2.58125 diff
1500 20 2.33045 norm
1500 21 2.55301 diff
1500 21 2.27332 norm
1500 22 2.58013 diff
1500 22 2.21061 norm
1500 23 2.548 diff
1500 23 2.15509 norm
1500 24 2.51819 diff
1500 24 2.13778 norm
1500 25 2.52329 diff
1500 25 2.10595 norm
1500 26 2.47796 diff
1500 26 2.10123 norm
1500 27 2.48984 diff
1500 27 2.06605 norm
1500 28 2.47116 diff
1500 28 2.06629 norm
1500 29 2.49203 diff
1500 29 2.05002 norm
1500 30 2.4763 diff
1500 30 2.01352 norm
1500 31 2.44069 diff
1500 31 1.98314 norm
1500 32 2.4086 diff
1500 32 1.98248 norm
1500 33 2.38121 diff
1500 33 1.99411 norm
1500 34 2.39487 diff
1500 34 1.98829 norm
1500 35 2.39351 diff
1500 35 1.9899 norm
1500 36 2.39243 diff
1500 36 1.97594 norm
1500 37 2.37051 diff
1500 37 1.98129 norm
1500 38 2.36528 diff
1500 38 1.98431 norm
1500 39 2.35952 diff
1500 39 1.9816 norm
1500 40 2.34451 diff
1500 40 1.98549 norm
1500 41 2.34531 diff
1500 41 1.98942 norm
1500 42 2.34299 diff
1500 42 1.99744 norm
1500 43 2.35488 diff
1500 43 1.99469 norm
1500 44 2.35373 diff
1500 44 1.99049 norm
1500 45 2.34769 diff
1500 45 1.98572 norm
1500 46 2.33943 diff
1500 46 1.98182 norm
1500 47 2.33458 diff
1500 47 1.98463 norm
1500 48 2.34787 diff
1500 48 1.98359 norm
1500 49 2.34837 diff
1500 49 1.98348 norm
1500 50 2.35333 diff
1500 50 1.9815 norm
1500 51 2.34866 diff
1500 51 1.98391 norm
1500 52 2.34803 diff
1500 52 1.97975 norm
1500 53 2.34853 diff
1500 53 1.98053 norm
1500 54 2.3431 diff
1500 54 1.97885 norm
1500 55 2.34426 diff
1500 55 1.98046 norm
1500 56 2.34025 diff
1500 56 1.98484 norm
1500 57 2.34764 diff
1500 57 1.98432 norm
1500 58 2.34608 diff
1500 58 1.98637 norm
1500 59 2.34549 diff
1500 59 1.98493 norm
1500 60 2.34225 diff
1500 60 1.98502 norm
1500 61 2.34022 diff
1500 61 1.98421 norm
1500 62 2.34429 diff
1500 62 1.9876 norm
1500 63 2.34629 diff
1500 63 1.99076 norm
1500 64 2.34769 diff
1500 64 1.9912 norm
1500 65 2.34672 diff
1500 65 1.99266 norm
1500 66 2.34885 diff
1500 66 1.99191 norm
1500 67 2.3479 diff
1500 67 1.9926 norm
1500 68 2.34882 diff
1500 68 1.99131 norm
1500 69 2.3478 diff
1500 69 1.99275 norm
1500 70 2.34828 diff
1500 70 1.99344 norm
1500 71 2.3509 diff
1500 71 1.99422 norm
1500 72 2.35203 diff
1500 72 1.99527 norm
1500 73 2.35338 diff
1500 73 1.9934 norm
1500 74 2.35159 diff
1500 74 1.99296 norm
1500 75 2.35159 diff
1500 75 1.99213 norm
1500 76 2.35242 diff
1500 76 1.99384 norm
1500 77 2.35369 diff
1500 77 1.99491 norm
1500 78 2.35397 diff
1500 78 1.99566 norm
1500 79 2.35422 diff
1500 79 1.99511 norm
1500 80 2.35439 diff
1500 80 1.9952 norm
1500 81 2.35447 diff
1500 81 1.9955 norm
1500 82 2.35457 diff
1500 82 1.99482 norm
1500 83 2.35342 diff
1500 83 1.9954 norm
1500 84 2.35409 diff
1500 84 1.99576 norm
1500 85 2.35456 diff
1500 85 1.99673 norm
1500 86 2.35567 diff
1500 86 1.99669 norm
1500 87 2.35622 diff
1500 87 1.9962 norm
1500 88 2.35559 diff
1500 88 1.99583 norm
1500 89 2.3552 diff
1500 89 1.99555 norm
1500 90 2.35542 diff
1500 90 1.99647 norm
1500 91 2.35605 diff
1500 91 1.99676 norm
1500 92 2.35611 diff
1500 92 1.99684 norm
1500 93 2.35646 diff
1500 93 1.99651 norm
1500 94 2.35633 diff
1500 94 1.99641 norm
1500 95 2.35657 diff
1500 95 1.99635 norm
1500 96 2.35633 diff
1500 96 1.99605 norm
1500 97 2.35585 diff
1500 97 1.99605 norm
1500 98 2.35605 diff
1500 98 1.99606 norm
1500 99 2.35606 diff
1500 99 1.99644 norm
1500 100 2.35683 diff
1500 100 1.99624 norm
1500 101 2.35678 diff
1500 101 1.996 norm
1500 102 2.3565 diff
1500 102 1.99577 norm
1500 103 2.35614 diff
1500 103 1.99575 norm
1500 104 2.35599 diff
1500 104 1.99599 norm
1500 105 2.35627 diff
1500 105 1.99605 norm
1500 106 2.35621 diff
1500 106 1.99602 norm
1500 107 2.35631 diff
1500 107 1.9958 norm
1500 108 2.35615 diff
1500 108 1.99584 norm
1500 109 4.77362 diff
1500 109 3.51735 norm
1500 110 3.99042 diff
1500 110 3.07128 norm
1500 111 3.44331 diff
1500 111 2.68931 norm
1500 112 3.21712 diff
1500 112 2.44851 norm
1500 113 2.8465 diff
1500 113 2.41914 norm
1500 114 2.27168 diff
1500 114 2.23517 norm
1500 115 2.507 diff
1500 115 2.17662 norm
1500 116 2.12985 diff
1500 116 2.09699 norm
1500 117 1.86426 diff
1500 117 1.90941 norm
1500 118 1.89424 diff
1500 118 1.91478 norm
1500 119 0.0 diff
1500 119 2.08863 norm
2000 0 3.27718 diff
2000 0 2.55901 norm
2000 1 4.15681 diff
2000 1 3.59719 norm
2000 2 4.77446 diff
2000 2 4.16739 norm
2000 3 4.96118 diff
2000 3 4.34577 norm
2000 4 5.13067 diff
2000 4 4.51269 norm
2000 5 5.16421 diff
2000 5 4.5726 norm
2000 6 5.21489 diff
2000 6 4.61859 norm
