batch k norm
2000 100 0.000421703
2000 101 0.000450186
2000 102 0.000481189
2000 103 0.000512277
2000 104 0.000545624
2000 105 0.000581087
2000 106 0.000618651
2000 107 0.00066079
2000 108 0.00070128
2000 109 0.000864894
2000 110 0.00100706
2000 111 0.00101832
2000 112 0.001005
2000 113 0.000997424
2000 114 0.000961344
2000 115 0.000892841
2000 116 0.000839208
2000 117 0.000763872
2000 118 0.000628089
2000 119 0.000449059
2500 0 4.27418e-08
2500 1 5.13073e-08
2500 2 6.59836e-08
2500 3 8.83433e-08
2500 4 1.22934e-07
2500 5 1.71399e-07
2500 6 2.42954e-07
2500 7 3.46798e-07
2500 8 4.91854e-07
2500 9 6.76359e-07
2500 10 8.41818e-07
2500 11 9.86025e-07
2500 12 1.12683e-06
2500 13 1.26247e-06
2500 14 1.41755e-06
2500 15 1.56982e-06
2500 16 1.71268e-06
2500 17 1.84558e-06
2500 18 1.98504e-06
2500 19 2.15084e-06
2500 20 2.31877e-06
2500 21 2.48311e-06
2500 22 2.6548e-06
2500 23 2.8422e-06
2500 24 3.03571e-06
2500 25 3.24441e-06
2500 26 3.45151e-06
2500 27 3.67118e-06
2500 28 3.92962e-06
2500 29 4.18592e-06
2500 30 4.45806e-06
2500 31 4.7372e-06
2500 32 5.02857e-06
2500 33 5.34704e-06
2500 34 5.68793e-06
2500 35 6.0715e-06
2500 36 6.43821e-06
2500 37 6.83516e-06
2500 38 7.23205e-06
2500 39 7.70939e-06
2500 40 8.19382e-06
2500 41 8.73585e-06
2500 42 9.33877e-06
2500 43 9.9293e-06
2500 44 1.05866e-05
2500 45 1.12392e-05
2500 46 1.20242e-05
2500 47 1.29019e-05
2500 48 1.37558e-05
2500 49 1.46576e-05
2500 50 1.55488e-05
2500 51 1.65196e-05
2500 52 1.75244e-05
2500 53 1.86997e-05
2500 54 1.99927e-05
2500 55 2.12846e-05
2500 56 2.27459e-05
2500 57 2.41689e-05
2500 58 2.5747e-05
2500 59 2.74383e-05
2500 60 2.93264e-05
2500 61 3.12266e-05
2500 62 3.33729e-05
2500 63 3.56251e-05
2500 64 3.78472e-05
2500 65 4.021e-05
2500 66 4.26621e-05
2500 67 4.55462e-05
2500 68 4.83772e-05
2500 69 5.14342e-05
2500 70 5.4569e-05
2500 71 5.78344e-05
2500 72 6.15342e-05
2500 73 6.57635e-05
2500 74 7.00754e-05
2500 75 7.47476e-05
2500 76 7.98872e-05
2500 77 8.53255e-05
2500 78 9.10441e-05
2500 79 9.75314e-05
2500 80 0.000104151
2500 81 0.000111598
2500 82 0.00011906
2500 83 0.000127979
2500 84 0.000136705
2500 85 0.000146419
2500 86 0.000156287
2500 87 0.000167043
2500 88 0.000178535
2500 89 0.000191475
2500 90 0.000203501
2500 91 0.000216843
2500 92 0.000232406
2500 93 0.000249618
2500 94 0.000267118
2500 95 0.000284183
2500 96 0.000304369
2500 97 0.00032604
2500 98 0.000347683
2500 99 0.000372514
2500 100 0.000399425
2500 101 0.000427425
2500 102 0.000455613
2500 103 0.000487901
2500 104 0.000522674
2500 105 0.000559182
2500 106 0.000599728
2500 107 0.000645217
2500 108 0.000688904
2500 109 0.000846465
2500 110 0.000980978
2500 111 0.000993021
2500 112 0.0010057
2500 113 0.00098575
2500 114 0.000971807
2500 115 0.000900842
2500 116 0.000809523
2500 117 0.000718434
2500 118 0.00060416
2500 119 0.000439088
3000 0 7.29631e-08
3000 1 8.86758e-08
3000 2 1.14642e-07
3000 3 1.53795e-07
3000 4 2.13736e-07
3000 5 3.04092e-07
3000 6 4.32407e-07
3000 7 6.16406e-07
3000 8 8.5778e-07
3000 9 1.16464e-06
3000 10 1.4317e-06
3000 11 1.65539e-06
3000 12 1.88077e-06
3000 13 2.11025e-06
3000 14 2.37071e-06
3000 15 2.62192e-06
3000 16 2.83597e-06
3000 17 3.06553e-06
3000 18 3.29832e-06
3000 19 3.53771e-06
3000 20 3.79838e-06
3000 21 4.06518e-06
3000 22 4.33323e-06
3000 23 4.60263e-06
3000 24 4.89869e-06
3000 25 5.19958e-06
3000 26 5.50791e-06
3000 27 5.8376e-06
3000 28 6.2084e-06
3000 29 6.60806e-06
3000 30 7.0048e-06
3000 31 7.40912e-06
3000 32 7.81945e-06
3000 33 8.24847e-06
3000 34 8.68307e-06
3000 35 9.17735e-06
3000 36 9.67145e-06
3000 37 1.01986e-05
3000 38 1.07727e-05
3000 39 1.14088e-05
3000 40 1.20576e-05
3000 41 1.27871e-05
3000 42 1.35602e-05
3000 43 1.43635e-05
3000 44 1.51809e-05
3000 45 1.60741e-05
3000 46 1.71251e-05
3000 47 1.80821e-05
3000 48 1.91033e-05
3000 49 2.01595e-05
3000 50 2.13519e-05
3000 51 2.24949e-05
3000 52 2.37595e-05
3000 53 2.51903e-05
3000 54 2.66441e-05
3000 55 2.83018e-05
3000 56 2.99511e-05
3000 57 3.16204e-05
3000 58 3.36076e-05
3000 59 3.55035e-05
3000 60 3.77569e-05
3000 61 4.00027e-05
3000 62 4.24562e-05
3000 63 4.49733e-05
3000 64 4.76492e-05
3000 65 5.02628e-05
